x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
0.6000, 0.6000, 5.1999, 0.0000, 0.3122, 0.5803, 1.0000, 1.0000, L, 0.2878, 0.0197, 4.1999, 1.0000
0.8600, 0.6000, 5.1997, 0.0018, 0.8126, 0.6921, 7.1225, 1.3398, R, 0.2062, 0.0665, 3.2662, 1.1812
1.1200, 0.6002, 5.1994, 0.0054, 1.1954, 0.5274, 9.5162, -0.0501, L, 0.1739, 0.0687, 3.6502, 0.9650
1.3800, 0.6006, 5.1990, 0.0108, 1.0820, 0.5615, 4.6149, 2.3374, R, 0.2119, 0.0626, 3.1746, 1.4324
1.6399, 0.6013, 5.1984, 0.0180, 1.4013, 0.6873, 4.9319, 1.9789, L, 0.2175, 0.0679, 2.8419, 1.5525
1.8998, 0.6025, 5.1977, 0.0269, 1.7483, 0.6433, 5.3231, 1.0193, R, 0.2079, 0.0642, 2.5948, 1.4740
2.1597, 0.6041, 5.1968, 0.0377, 2.0550, 0.6908, 5.4270, 0.8987, L, 0.1965, 0.0679, 2.4039, 1.4030
2.4195, 0.6063, 5.1957, 0.0502, 2.2955, 0.6954, 5.2449, 0.7228, R, 0.1890, 0.0709, 2.2487, 1.3337
2.6793, 0.6092, 5.1945, 0.0646, 2.5790, 0.7216, 5.2904, 0.6487, L, 0.1813, 0.0766, 2.1204, 1.2724
2.9390, 0.6128, 5.1931, 0.0807, 2.8604, 0.7083, 5.2992, 0.4353, R, 0.1738, 0.0787, 2.0118, 1.2123
3.1987, 0.6173, 5.1915, 0.0985, 3.1048, 0.7166, 5.2661, 0.4032, L, 0.1681, 0.0808, 1.9183, 1.1596
3.4583, 0.6227, 5.1896, 0.1182, 3.4005, 0.6453, 5.3096, 0.0298, R, 0.1618, 0.0777, 1.8370, 1.1105
3.7177, 0.6291, 5.1875, 0.1396, 3.7129, 0.5800, 5.4043, -0.2436, L, 0.1555, 0.0758, 1.7660, 1.0722
3.9771, 0.6367, 5.1852, 0.1627, 3.9946, 0.5963, 5.4633, -0.1406, R, 0.1499, 0.0739, 1.7033, 1.0364
4.2363, 0.6454, 5.1826, 0.1876, 4.2752, 0.5864, 5.4762, -0.1537, L, 0.1451, 0.0730, 1.6473, 1.0051
4.4954, 0.6555, 5.1796, 0.2142, 4.5323, 0.6044, 5.3307, -0.0754, R, 0.1408, 0.0718, 1.5955, 0.9759
4.7544, 0.6669, 5.1763, 0.2426, 4.7190, 0.6779, 5.1864, 0.2049, L, 0.1369, 0.0697, 1.5478, 0.9468
5.0132, 0.6798, 5.1727, 0.2726, 4.9710, 0.6741, 5.0392, 0.1424, R, 0.1334, 0.0678, 1.5045, 0.9206
5.2717, 0.6942, 5.1687, 0.3044, 5.2728, 0.6687, 5.1284, 0.0911, L, 0.1299, 0.0662, 1.4644, 0.8974
5.5301, 0.7103, 5.1642, 0.3379, 5.5343, 0.6739, 5.2675, 0.1069, R, 0.1266, 0.0651, 1.4276, 0.8762
5.7883, 0.7281, 5.1593, 0.3730, 5.8343, 0.6843, 5.3321, 0.1157, L, 0.1239, 0.0642, 1.3937, 0.8569
6.0462, 0.7476, 5.1539, 0.4098, 6.0741, 0.6267, 5.1280, -0.0940, R, 0.1212, 0.0678, 1.3616, 0.8441
6.3038, 0.7691, 5.1480, 0.4482, 6.3279, 0.7169, 5.1131, 0.1971, L, 0.1187, 0.0672, 1.3317, 0.8272
6.5611, 0.7925, 5.1416, 0.4883, 6.5782, 0.7456, 5.0632, 0.2513, R, 0.1162, 0.0665, 1.3038, 0.8112
6.8181, 0.8180, 5.1345, 0.5300, 6.8240, 0.7455, 5.0512, 0.2144, L, 0.1139, 0.0667, 1.2775, 0.7973
7.0747, 0.8456, 5.1268, 0.5733, 7.0652, 0.7311, 4.8772, 0.1246, R, 0.1117, 0.0692, 1.2537, 0.7868
7.3309, 0.8754, 5.1185, 0.6181, 7.2777, 0.8092, 4.8130, 0.3415, L, 0.1101, 0.0691, 1.2317, 0.7739
7.5867, 0.9074, 5.1095, 0.6645, 7.5780, 0.8230, 5.1584, 0.3491, R, 0.1081, 0.0697, 1.2095, 0.7623
7.8420, 0.9419, 5.0997, 0.7125, 7.8330, 0.8017, 5.1573, 0.2365, L, 0.1062, 0.0733, 1.1885, 0.7542
8.0968, 0.9788, 5.0891, 0.7619, 8.0808, 0.8186, 4.9773, 0.2369, R, 0.1045, 0.0777, 1.1687, 0.7477
8.3511, 1.0181, 5.0777, 0.8128, 8.3162, 0.8351, 4.9524, 0.2521, L, 0.1030, 0.0832, 1.1499, 0.7424
8.6047, 1.0601, 5.0654, 0.8652, 8.5902, 0.9252, 5.2348, 0.4971, R, 0.1014, 0.0853, 1.1322, 0.7336
8.8578, 1.1047, 5.0522, 0.9190, 8.8330, 0.9854, 5.1972, 0.6001, L, 0.0999, 0.0866, 1.1152, 0.7246
9.1101, 1.1521, 5.0380, 0.9742, 9.1254, 1.0238, 5.2445, 0.6189, R, 0.0985, 0.0881, 1.0993, 0.7164
9.3617, 1.2022, 5.0228, 1.0308, 9.3663, 1.0553, 5.2056, 0.6232, L, 0.0971, 0.0903, 1.0839, 0.7095
