x_true, y_true, vx_true, vy_true, x_est, y_est, vx_est, vy_est, sensor, nis, RMSE_x, RMSE_y, RMSE_vx, RMSE_vy
0.6000, 0.6000, 5.1999, 0.0000, 0.3122, 0.5803, 0.0000, 0.0000, L, 0.0000, 0.2878, 0.0197, 5.1999, 0.0000
0.8600, 0.6000, 5.1997, 0.0018, 0.7350, 0.6291, 7.2118, -0.0000, R, 74.4774, 0.2218, 0.0248, 3.9426, 0.0013
1.1200, 0.6002, 5.1994, 0.0054, 1.1605, 0.4949, 7.1567, -0.9148, L, 0.2206, 0.1826, 0.0641, 3.4117, 0.5313
1.3800, 0.6006, 5.1990, 0.0108, 1.2579, 0.5331, 7.1460, 0.8783, R, 1.8255, 0.1695, 0.0650, 3.1108, 0.6323
1.6399, 0.6013, 5.1984, 0.0180, 1.6160, 0.5953, 7.1199, 1.1583, L, 0.1667, 0.1520, 0.0582, 2.9121, 0.7615
1.8998, 0.6025, 5.1977, 0.0269, 1.8512, 0.5623, 5.9941, 0.1606, R, 7.5231, 0.1402, 0.0556, 2.6782, 0.6973
2.1597, 0.6041, 5.1968, 0.0377, 2.1625, 0.5918, 5.9910, 0.2481, L, 0.2515, 0.1298, 0.0517, 2.4976, 0.6505
2.4195, 0.6063, 5.1957, 0.0502, 2.3782, 0.6382, 5.5674, 0.3343, R, 5.9870, 0.1223, 0.0496, 2.3400, 0.6167
2.6793, 0.6092, 5.1945, 0.0646, 2.6545, 0.6559, 5.5689, 0.2739, L, 0.0062, 0.1156, 0.0493, 2.2097, 0.5856
2.9390, 0.6128, 5.1931, 0.0807, 2.9209, 0.6499, 5.5086, 0.0173, R, 0.3295, 0.1098, 0.0482, 2.0987, 0.5559
3.1987, 0.6173, 5.1915, 0.0985, 3.1559, 0.6463, 5.4632, -0.0541, L, 1.1618, 0.1055, 0.0468, 2.0027, 0.5320
3.4583, 0.6227, 5.1896, 0.1182, 3.4419, 0.5423, 5.4315, -0.8735, R, 1.3224, 0.1011, 0.0505, 1.9187, 0.5843
3.7177, 0.6291, 5.1875, 0.1396, 3.7452, 0.4294, 5.3570, -1.5459, L, 2.1587, 0.0974, 0.0736, 1.8440, 0.7305
3.9771, 0.6367, 5.1852, 0.1627, 4.0255, 0.5145, 5.4852, -0.7826, R, 4.0933, 0.0948, 0.0781, 1.7788, 0.7479
4.2363, 0.6454, 5.1826, 0.1876, 4.2990, 0.5071, 5.4701, -0.7388, L, 0.3456, 0.0930, 0.0835, 1.7200, 0.7611
4.4954, 0.6555, 5.1796, 0.2142, 4.5582, 0.5463, 5.3910, -0.4847, R, 1.8921, 0.0914, 0.0853, 1.6663, 0.7574
4.7544, 0.6669, 5.1763, 0.2426, 4.7438, 0.6564, 5.2245, 0.0791, L, 12.3726, 0.0887, 0.0828, 1.6166, 0.7358
5.0132, 0.6798, 5.1727, 0.2726, 4.9950, 0.6560, 5.1400, 0.0390, R, 1.4784, 0.0863, 0.0807, 1.5710, 0.7172
5.2717, 0.6942, 5.1687, 0.3044, 5.2946, 0.6508, 5.2040, -0.0124, L, 2.6731, 0.0842, 0.0792, 1.5292, 0.7019
5.5301, 0.7103, 5.1642, 0.3379, 5.5537, 0.6574, 5.2601, 0.0109, R, 1.8476, 0.0822, 0.0781, 1.4906, 0.6880
5.7883, 0.7281, 5.1593, 0.3730, 5.8479, 0.6724, 5.3033, 0.0463, L, 1.6781, 0.0813, 0.0771, 1.4550, 0.6752
6.0462, 0.7476, 5.1539, 0.4098, 6.0895, 0.5986, 5.2005, -0.2435, R, 3.4984, 0.0799, 0.0818, 1.4216, 0.6742
6.3038, 0.7691, 5.1480, 0.4482, 6.3431, 0.7130, 5.1775, 0.1621, L, 3.8079, 0.0786, 0.0808, 1.3904, 0.6621
6.5611, 0.7925, 5.1416, 0.4883, 6.5929, 0.7451, 5.1301, 0.2398, R, 0.4335, 0.0772, 0.0797, 1.3611, 0.6501
6.8181, 0.8180, 5.1345, 0.5300, 6.8390, 0.7432, 5.1183, 0.2033, L, 0.2242, 0.0758, 0.0795, 1.3336, 0.6403
7.0747, 0.8456, 5.1268, 0.5733, 7.0806, 0.7263, 5.0103, 0.1145, R, 2.4490, 0.0743, 0.0814, 1.3079, 0.6343
7.3309, 0.8754, 5.1185, 0.6181, 7.2974, 0.8120, 4.9476, 0.3533, L, 2.8281, 0.0732, 0.0808, 1.2839, 0.6245
7.5867, 0.9074, 5.1095, 0.6645, 7.5925, 0.8230, 5.1190, 0.3551, R, 4.9416, 0.0719, 0.0810, 1.2607, 0.6161
7.8420, 0.9419, 5.0997, 0.7125, 7.8432, 0.8001, 5.1175, 0.2471, L, 0.5098, 0.0707, 0.0838, 1.2388, 0.6115
8.0968, 0.9788, 5.0891, 0.7619, 8.0918, 0.8176, 5.0340, 0.2588, R, 2.2093, 0.0695, 0.0875, 1.2180, 0.6082
8.3511, 1.0181, 5.0777, 0.8128, 8.3281, 0.8355, 5.0110, 0.2797, L, 0.3402, 0.0685, 0.0921, 1.1983, 0.6059
8.6047, 1.0601, 5.0654, 0.8652, 8.5989, 0.9290, 5.1401, 0.5317, R, 6.9796, 0.0674, 0.0936, 1.1795, 0.5993
8.8578, 1.1047, 5.0522, 0.9190, 8.8367, 0.9902, 5.1001, 0.6563, L, 0.6784, 0.0665, 0.0943, 1.1615, 0.5919
9.1101, 1.1521, 5.0380, 0.9742, 9.1272, 1.0309, 5.1650, 0.7084, R, 6.7978, 0.0656, 0.0952, 1.1445, 0.5849
